,customer_id,fraudulent,customerEmail,customerPhone,customerDevice,customerIPAddress,customerBillingAddress,orderId,orderAmount,orderState,orderShippingAddress,transactionId,paymentMethodId,transactionAmount,transactionFailed,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,paymentMethodIssuer
0,0,False,josephhoward@yahoo.com,400-108-5415,yyeiaxpltf82440jnb3v,8.129.104.40,"5493 Jones Islands
Brownside, CA 51896",vjbdvd,18,pending,"5493 Jones Islands
Brownside, CA 51896",a9lcj51r,wt07xm68b,18,False,True,card,JCB 16 digit,Citizens First Banks
1,0,False,josephhoward@yahoo.com,400-108-5415,yyeiaxpltf82440jnb3v,8.129.104.40,"5493 Jones Islands
Brownside, CA 51896",yp6x27,26,fulfilled,"5493 Jones Islands
Brownside, CA 51896",y4wcv03i,wt07xm68b,26,False,True,card,JCB 16 digit,Citizens First Banks
2,1,True,evansjeffery@yahoo.com,1-788-091-7546,r0jpm7xaeqqa3kr6mzum,219.173.211.202,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",nlghpa,45,fulfilled,"898 Henry Ports
New Keithview, CA 95893-2497",5mi94sfw,41ug157xz,45,False,False,bitcoin,American Express,Bastion Banks
3,1,True,evansjeffery@yahoo.com,1-788-091-7546,r0jpm7xaeqqa3kr6mzum,219.173.211.202,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",uw0eeb,23,fulfilled,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",br8ba1nu,41ug157xz,23,False,False,bitcoin,American Express,Bastion Banks
4,1,True,evansjeffery@yahoo.com,1-788-091-7546,r0jpm7xaeqqa3kr6mzum,219.173.211.202,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",bn44oh,43,fulfilled,"5093 Bryan Forks
Joshuaton, FM 01565-9801",a33145ss,y3xp697jx,43,True,True,bitcoin,VISA 16 digit,Solace Banks
5,2,False,andersonwilliam@yahoo.com,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",yk34y2,33,failed,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",q3lyvbza,8pneoi03z,33,False,False,card,JCB 16 digit,Bastion Banks
6,2,False,andersonwilliam@yahoo.com,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",28v6b0,24,fulfilled,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",3alf9irw,8pneoi03z,24,True,False,card,JCB 16 digit,Bastion Banks
7,2,False,andersonwilliam@yahoo.com,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",28v6b0,24,fulfilled,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",69w9wymx,8pneoi03z,24,False,False,card,JCB 16 digit,Bastion Banks
8,2,False,andersonwilliam@yahoo.com,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",itnk8y,25,fulfilled,"22396 Victor Lights
Carsonstad, MO 93914",uo3slwh7,8pneoi03z,25,False,False,card,JCB 16 digit,Bastion Banks
9,2,False,andersonwilliam@yahoo.com,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",itnk8y,25,fulfilled,"22396 Victor Lights
Carsonstad, MO 93914",pegqc4ud,dluy3jka0,25,True,False,card,Discover,His Majesty Bank Corp.
